"Step","gpt2_last_char_to_char1729642919.4054031 - train/loss","gpt2_last_char_to_char1729642919.4054031 - train/loss__MIN","gpt2_last_char_to_char1729642919.4054031 - train/loss__MAX","gpt2_augmented_char_to_token1729630560.5729918 - train/loss","gpt2_augmented_char_to_token1729630560.5729918 - train/loss__MIN","gpt2_augmented_char_to_token1729630560.5729918 - train/loss__MAX","gpt2_last_char_token_to_char1729587337.8266432 - train/loss","gpt2_last_char_token_to_char1729587337.8266432 - train/loss__MIN","gpt2_last_char_token_to_char1729587337.8266432 - train/loss__MAX","gpt2_char_to_token1729578574.2848036 - train/loss","gpt2_char_to_token1729578574.2848036 - train/loss__MIN","gpt2_char_to_token1729578574.2848036 - train/loss__MAX","gpt2_char_to_token1729534595.422701 - train/loss","gpt2_char_to_token1729534595.422701 - train/loss__MIN","gpt2_char_to_token1729534595.422701 - train/loss__MAX","gpt2 - train/loss","gpt2 - train/loss__MIN","gpt2 - train/loss__MAX","gpt2_last_char_token_to_token1729493675.529459 - train/loss","gpt2_last_char_token_to_token1729493675.529459 - train/loss__MIN","gpt2_last_char_token_to_token1729493675.529459 - train/loss__MAX","gpt2_char_to_token1729491541.2756786 - train/loss","gpt2_char_to_token1729491541.2756786 - train/loss__MIN","gpt2_char_to_token1729491541.2756786 - train/loss__MAX"
"0","25.48284149169922","25.48284149169922","25.48284149169922","10.986520767211914","10.986520767211914","10.986520767211914","24.70099639892578","24.70099639892578","24.70099639892578","10.944732666015625","10.944732666015625","10.944732666015625","10.993303298950195","10.993303298950195","10.993303298950195","10.95404052734375","10.95404052734375","10.95404052734375","10.9784517288208","10.9784517288208","10.9784517288208","10.945090293884277","10.945090293884277","10.945090293884277"
"1","11.286399841308594","11.286399841308594","11.286399841308594","6.677523612976074","6.677523612976074","6.677523612976074","11.947710037231445","11.947710037231445","11.947710037231445","7.028736591339111","7.028736591339111","7.028736591339111","7.020743370056152","7.020743370056152","7.020743370056152","6.684843063354492","6.684843063354492","6.684843063354492","6.777776718139648","6.777776718139648","6.777776718139648","7.024113655090332","7.024113655090332","7.024113655090332"
"2","10.310510635375977","10.310510635375977","10.310510635375977","6.136286735534668","6.136286735534668","6.136286735534668","11.089208602905273","11.089208602905273","11.089208602905273","6.424201488494873","6.424201488494873","6.424201488494873","6.402392387390137","6.402392387390137","6.402392387390137","5.882663726806641","5.882663726806641","5.882663726806641","6.013458251953125","6.013458251953125","6.013458251953125","6.403542518615723","6.403542518615723","6.403542518615723"
"3","8.010860443115234","8.010860443115234","8.010860443115234","5.641941070556641","5.641941070556641","5.641941070556641","10.622908592224121","10.622908592224121","10.622908592224121","5.934786796569824","5.934786796569824","5.934786796569824","5.949332237243652","5.949332237243652","5.949332237243652","5.3974809646606445","5.3974809646606445","5.3974809646606445","5.528635025024414","5.528635025024414","5.528635025024414","5.91502571105957","5.91502571105957","5.91502571105957"
"4","6.6271209716796875","6.6271209716796875","6.6271209716796875","5.269412040710449","5.269412040710449","5.269412040710449","10.336950302124023","10.336950302124023","10.336950302124023","5.56162166595459","5.56162166595459","5.56162166595459","5.572105884552002","5.572105884552002","5.572105884552002","5.0728759765625","5.0728759765625","5.0728759765625","5.165073871612549","5.165073871612549","5.165073871612549","5.549674034118652","5.549674034118652","5.549674034118652"
"5","5.712735176086426","5.712735176086426","5.712735176086426","4.996810436248779","4.996810436248779","4.996810436248779","10.073386192321777","10.073386192321777","10.073386192321777","5.294548511505127","5.294548511505127","5.294548511505127","5.282080173492432","5.282080173492432","5.282080173492432","4.75210428237915","4.75210428237915","4.75210428237915","4.890717029571533","4.890717029571533","4.890717029571533","5.276972770690918","5.276972770690918","5.276972770690918"
"6","5.284903526306152","5.284903526306152","5.284903526306152","4.766328811645508","4.766328811645508","4.766328811645508","9.942292213439941","9.942292213439941","9.942292213439941","5.026154041290283","5.026154041290283","5.026154041290283","5.034831523895264","5.034831523895264","5.034831523895264","4.552126884460449","4.552126884460449","4.552126884460449","4.650810718536377","4.650810718536377","4.650810718536377","5.022640228271484","5.022640228271484","5.022640228271484"
"7","5.074585437774658","5.074585437774658","5.074585437774658","4.5407304763793945","4.5407304763793945","4.5407304763793945","9.7258882522583","9.7258882522583","9.7258882522583","4.811340808868408","4.811340808868408","4.811340808868408","4.825332164764404","4.825332164764404","4.825332164764404","4.372483730316162","4.372483730316162","4.372483730316162","4.477280139923096","4.477280139923096","4.477280139923096","4.810427188873291","4.810427188873291","4.810427188873291"
"8","4.888429164886475","4.888429164886475","4.888429164886475","4.379735469818115","4.379735469818115","4.379735469818115","9.606690406799316","9.606690406799316","9.606690406799316","4.66299295425415","4.66299295425415","4.66299295425415","4.688910961151123","4.688910961151123","4.688910961151123","4.255111217498779","4.255111217498779","4.255111217498779","4.3254075050354","4.3254075050354","4.3254075050354","4.6537370681762695","4.6537370681762695","4.6537370681762695"
"9","4.761978626251221","4.761978626251221","4.761978626251221","4.2496657371521","4.2496657371521","4.2496657371521","9.552133560180664","9.552133560180664","9.552133560180664","4.498409271240234","4.498409271240234","4.498409271240234","4.5284342765808105","4.5284342765808105","4.5284342765808105","4.187161445617676","4.187161445617676","4.187161445617676","4.227181911468506","4.227181911468506","4.227181911468506","4.493574142456055","4.493574142456055","4.493574142456055"
