step 0: train loss 4.4501, val loss 4.4402
iter 105: loss 2.4688, time 227.24ms, mfu 107.85%
iter 106: loss 2.4645, time 228.75ms, mfu 107.80%
iter 107: loss 2.4777, time 229.31ms, mfu 107.72%
iter 108: loss 2.4542, time 227.24ms, mfu 107.75%
iter 109: loss 2.4614, time 227.06ms, mfu 107.79%
iter 110: loss 2.4759, time 228.00ms, mfu 107.78%
iter 111: loss 2.4714, time 226.01ms, mfu 107.86%
iter 112: loss 2.4790, time 228.93ms, mfu 107.80%
iter 113: loss 2.4649, time 228.82ms, mfu 107.74%
iter 114: loss 2.4618, time 227.34ms, mfu 107.77%
iter 115: loss 2.4602, time 228.41ms, mfu 107.74%
iter 116: loss 2.4754, time 226.45ms, mfu 107.80%
iter 117: loss 2.4804, time 230.21ms, mfu 107.69%
iter 118: loss 2.4539, time 226.33ms, mfu 107.76%
iter 119: loss 2.4582, time 228.12ms, mfu 107.75%
iter 120: loss 2.4428, time 228.65ms, mfu 107.71%
iter 121: loss 2.4406, time 227.17ms, mfu 107.74%
iter 122: loss 2.4533, time 228.57ms, mfu 107.71%
iter 123: loss 2.4521, time 225.84ms, mfu 107.81%
iter 124: loss 2.4640, time 228.09ms, mfu 107.79%
iter 125: loss 2.4602, time 228.57ms, mfu 107.75%
iter 126: loss 2.4567, time 228.88ms, mfu 107.70%
iter 127: loss 2.4554, time 227.46ms, mfu 107.72%
iter 128: loss 2.4634, time 228.92ms, mfu 107.67%
iter 129: loss 2.4344, time 229.23ms, mfu 107.61%
iter 130: loss 2.4746, time 227.29ms, mfu 107.65%
iter 131: loss 2.4538, time 225.91ms, mfu 107.75%
iter 132: loss 2.4687, time 226.95ms, mfu 107.79%
iter 133: loss 2.4774, time 228.59ms, mfu 107.75%
iter 134: loss 2.4554, time 228.42ms, mfu 107.72%
iter 135: loss 2.4625, time 228.44ms, mfu 107.70%
iter 136: loss 2.4559, time 227.25ms, mfu 107.73%
iter 137: loss 2.4569, time 225.66ms, mfu 107.83%
iter 138: loss 2.4669, time 228.31ms, mfu 107.80%
iter 139: loss 2.4550, time 229.49ms, mfu 107.72%
iter 140: loss 2.4549, time 228.79ms, mfu 107.68%
iter 141: loss 2.4375, time 226.69ms, mfu 107.74%
iter 142: loss 2.4525, time 226.90ms, mfu 107.78%
iter 143: loss 2.4724, time 230.28ms, mfu 107.66%
iter 144: loss 2.4434, time 228.27ms, mfu 107.65%
iter 145: loss 2.4577, time 226.90ms, mfu 107.70%
iter 146: loss 2.4498, time 228.10ms, mfu 107.70%
iter 147: loss 2.4616, time 227.15ms, mfu 107.73%
iter 148: loss 2.4394, time 229.43ms, mfu 107.66%
iter 149: loss 2.4453, time 227.76ms, mfu 107.67%
iter 150: loss 2.4538, time 228.80ms, mfu 107.63%
iter 151: loss 2.4439, time 226.31ms, mfu 107.72%
iter 152: loss 2.4517, time 229.69ms, mfu 107.63%
iter 153: loss 2.4420, time 227.69ms, mfu 107.65%
iter 154: loss 2.4560, time 229.13ms, mfu 107.60%
iter 155: loss 2.4303, time 228.62ms, mfu 107.57%
iter 156: loss 2.4511, time 228.15ms, mfu 107.58%
iter 157: loss 2.4397, time 227.63ms, mfu 107.60%
iter 158: loss 2.4216, time 227.09ms, mfu 107.65%
iter 159: loss 2.4678, time 229.21ms, mfu 107.60%
iter 160: loss 2.4306, time 226.15ms, mfu 107.69%
iter 161: loss 2.4370, time 227.82ms, mfu 107.70%
iter 162: loss 2.4309, time 226.88ms, mfu 107.75%
iter 163: loss 2.4376, time 227.43ms, mfu 107.77%
iter 164: loss 2.4374, time 229.02ms, mfu 107.71%
iter 165: loss 2.4459, time 226.17ms, mfu 107.79%
iter 166: loss 2.4627, time 228.27ms, mfu 107.76%
iter 167: loss 2.4487, time 228.18ms, mfu 107.75%
iter 168: loss 2.4342, time 228.93ms, mfu 107.69%
iter 169: loss 2.4321, time 227.60ms, mfu 107.71%
iter 170: loss 2.4636, time 226.43ms, mfu 107.78%
iter 171: loss 2.4482, time 227.50ms, mfu 107.79%
iter 172: loss 2.4439, time 228.18ms, mfu 107.77%
iter 173: loss 2.4338, time 227.00ms, mfu 107.81%
iter 174: loss 2.4291, time 227.68ms, mfu 107.81%
iter 175: loss 2.4315, time 226.72ms, mfu 107.85%
iter 176: loss 2.4567, time 227.89ms, mfu 107.84%
iter 177: loss 2.4441, time 226.83ms, mfu 107.88%
iter 178: loss 2.4594, time 227.13ms, mfu 107.90%
iter 179: loss 2.4472, time 227.99ms, mfu 107.87%
iter 180: loss 2.4406, time 227.57ms, mfu 107.87%
iter 181: loss 2.4410, time 227.04ms, mfu 107.90%
iter 182: loss 2.4485, time 226.97ms, mfu 107.92%
iter 183: loss 2.4309, time 226.76ms, mfu 107.96%
iter 184: loss 2.4326, time 227.41ms, mfu 107.95%
iter 185: loss 2.4275, time 228.20ms, mfu 107.92%
iter 186: loss 2.4395, time 227.83ms, mfu 107.90%
iter 187: loss 2.4128, time 227.77ms, mfu 107.89%
iter 188: loss 2.4426, time 226.88ms, mfu 107.92%
iter 189: loss 2.4300, time 227.70ms, mfu 107.91%
iter 190: loss 2.4478, time 226.05ms, mfu 107.97%
iter 191: loss 2.4288, time 227.55ms, mfu 107.96%
iter 192: loss 2.4345, time 226.21ms, mfu 108.02%
iter 193: loss 2.4551, time 227.68ms, mfu 108.00%
iter 194: loss 2.4338, time 227.21ms, mfu 108.00%
iter 195: loss 2.4204, time 227.70ms, mfu 107.98%
iter 196: loss 2.4215, time 227.64ms, mfu 107.97%
iter 197: loss 2.4353, time 228.10ms, mfu 107.93%
iter 198: loss 2.4209, time 228.01ms, mfu 107.91%
iter 199: loss 2.4180, time 226.47ms, mfu 107.95%
step 200: train loss 2.4314, val loss 2.4601
saving checkpoint to out
iter 200: loss 2.4430, time 6710.85ms, mfu 97.52%
iter 201: loss 2.4149, time 224.10ms, mfu 98.73%
