step 0: train loss 10.9886, val loss 10.9897
iter 105: loss 8.0033, time 310.71ms, mfu 108.59%
iter 106: loss 7.9289, time 309.19ms, mfu 108.62%
iter 107: loss 7.8817, time 310.32ms, mfu 108.60%
iter 108: loss 7.7264, time 309.68ms, mfu 108.61%
iter 109: loss 7.9109, time 310.03ms, mfu 108.61%
iter 110: loss 7.7762, time 309.70ms, mfu 108.62%
iter 111: loss 7.7077, time 313.19ms, mfu 108.51%
iter 112: loss 7.5904, time 307.14ms, mfu 108.62%
iter 113: loss 7.8779, time 312.31ms, mfu 108.53%
iter 114: loss 7.5902, time 315.17ms, mfu 108.36%
iter 115: loss 7.6190, time 311.73ms, mfu 108.33%
iter 116: loss 7.8069, time 309.86ms, mfu 108.36%
iter 117: loss 7.6545, time 308.84ms, mfu 108.42%
iter 118: loss 7.6876, time 311.76ms, mfu 108.38%
iter 119: loss 7.6406, time 309.55ms, mfu 108.42%
iter 120: loss 7.6145, time 309.79ms, mfu 108.44%
iter 121: loss 7.4709, time 310.31ms, mfu 108.45%
iter 122: loss 7.4488, time 310.19ms, mfu 108.45%
iter 123: loss 7.5796, time 312.55ms, mfu 108.38%
iter 124: loss 7.5432, time 312.18ms, mfu 108.33%
iter 125: loss 7.3656, time 311.88ms, mfu 108.29%
iter 126: loss 7.5499, time 311.56ms, mfu 108.26%
iter 127: loss 7.4585, time 310.70ms, mfu 108.27%
iter 128: loss 7.3739, time 309.70ms, mfu 108.32%
iter 129: loss 7.6566, time 310.63ms, mfu 108.32%
iter 130: loss 7.4739, time 310.63ms, mfu 108.33%
iter 131: loss 7.3054, time 312.98ms, mfu 108.25%
iter 132: loss 7.2429, time 309.46ms, mfu 108.30%
iter 133: loss 7.2881, time 311.20ms, mfu 108.29%
iter 134: loss 7.1856, time 308.73ms, mfu 108.37%
iter 135: loss 7.4336, time 311.49ms, mfu 108.34%
iter 136: loss 7.1473, time 307.98ms, mfu 108.43%
iter 137: loss 7.2852, time 311.01ms, mfu 108.42%
iter 138: loss 7.1394, time 308.75ms, mfu 108.48%
iter 139: loss 7.1329, time 311.60ms, mfu 108.43%
iter 140: loss 7.1869, time 310.73ms, mfu 108.42%
iter 141: loss 7.1703, time 313.04ms, mfu 108.34%
iter 142: loss 7.3501, time 309.80ms, mfu 108.37%
iter 143: loss 7.3484, time 310.11ms, mfu 108.39%
iter 144: loss 7.1649, time 311.38ms, mfu 108.36%
iter 145: loss 7.2148, time 310.24ms, mfu 108.38%
iter 146: loss 6.9323, time 310.50ms, mfu 108.38%
iter 147: loss 7.0720, time 309.93ms, mfu 108.40%
iter 148: loss 7.1678, time 311.90ms, mfu 108.36%
iter 149: loss 7.1683, time 309.08ms, mfu 108.41%
iter 150: loss 6.8715, time 310.61ms, mfu 108.41%
iter 151: loss 6.8602, time 309.58ms, mfu 108.44%
iter 152: loss 6.9773, time 309.76ms, mfu 108.47%
iter 153: loss 7.2448, time 309.87ms, mfu 108.48%
iter 154: loss 6.9787, time 311.45ms, mfu 108.45%
iter 155: loss 6.9701, time 309.90ms, mfu 108.46%
iter 156: loss 6.7587, time 310.24ms, mfu 108.47%
iter 157: loss 7.0539, time 309.43ms, mfu 108.50%
iter 158: loss 6.7764, time 310.51ms, mfu 108.49%
iter 159: loss 6.8949, time 311.01ms, mfu 108.47%
iter 160: loss 6.8646, time 310.70ms, mfu 108.46%
iter 161: loss 6.8706, time 309.51ms, mfu 108.49%
iter 162: loss 6.8822, time 312.07ms, mfu 108.43%
iter 163: loss 6.9452, time 310.68ms, mfu 108.42%
iter 164: loss 6.9683, time 310.83ms, mfu 108.41%
iter 165: loss 6.9257, time 309.97ms, mfu 108.43%
iter 166: loss 7.0313, time 311.50ms, mfu 108.39%
iter 167: loss 6.8283, time 312.08ms, mfu 108.34%
iter 168: loss 6.8508, time 309.11ms, mfu 108.40%
iter 169: loss 6.9542, time 311.14ms, mfu 108.38%
iter 170: loss 7.0566, time 310.40ms, mfu 108.39%
iter 171: loss 6.9376, time 309.65ms, mfu 108.42%
iter 172: loss 6.9376, time 311.60ms, mfu 108.38%
iter 173: loss 7.0852, time 309.57ms, mfu 108.42%
iter 174: loss 6.7146, time 309.82ms, mfu 108.44%
iter 175: loss 6.9060, time 309.27ms, mfu 108.48%
iter 176: loss 6.6948, time 310.20ms, mfu 108.49%
iter 177: loss 6.9722, time 310.81ms, mfu 108.47%
iter 178: loss 6.7216, time 312.39ms, mfu 108.40%
iter 179: loss 6.5915, time 311.39ms, mfu 108.37%
iter 180: loss 7.0056, time 310.77ms, mfu 108.37%
iter 181: loss 6.9164, time 310.89ms, mfu 108.36%
iter 182: loss 6.6017, time 310.40ms, mfu 108.37%
iter 183: loss 6.7653, time 309.77ms, mfu 108.40%
iter 184: loss 6.9035, time 311.25ms, mfu 108.37%
iter 185: loss 6.9249, time 309.97ms, mfu 108.40%
iter 186: loss 6.6568, time 311.95ms, mfu 108.35%
iter 187: loss 6.7458, time 310.32ms, mfu 108.36%
iter 188: loss 6.8767, time 310.69ms, mfu 108.36%
iter 189: loss 6.5282, time 310.36ms, mfu 108.37%
iter 190: loss 6.4775, time 310.77ms, mfu 108.37%
iter 191: loss 6.5908, time 308.85ms, mfu 108.43%
iter 192: loss 6.7133, time 311.03ms, mfu 108.41%
iter 193: loss 6.5930, time 310.23ms, mfu 108.42%
iter 194: loss 6.4536, time 310.24ms, mfu 108.43%
iter 195: loss 6.7847, time 311.63ms, mfu 108.39%
iter 196: loss 6.8001, time 312.36ms, mfu 108.33%
iter 197: loss 6.6271, time 310.99ms, mfu 108.32%
iter 198: loss 6.6269, time 311.01ms, mfu 108.31%
iter 199: loss 6.7883, time 309.94ms, mfu 108.34%
step 200: train loss 6.6253, val loss 6.6336
saving checkpoint to out
iter 200: loss 6.6391, time 9128.87ms, mfu 97.88%
iter 201: loss 6.7255, time 303.79ms, mfu 99.17%
iter 202: loss 6.6699, time 308.07ms, mfu 100.18%
iter 203: loss 6.5906, time 313.19ms, mfu 100.91%
iter 204: loss 6.5709, time 308.67ms, mfu 101.73%
iter 205: loss 6.4890, time 310.88ms, mfu 102.38%
iter 206: loss 6.5373, time 309.79ms, mfu 103.01%
iter 207: loss 6.4209, time 308.79ms, mfu 103.61%
iter 208: loss 6.4871, time 310.38ms, mfu 104.10%
iter 209: loss 6.7057, time 309.25ms, mfu 104.57%
iter 210: loss 6.4867, time 310.24ms, mfu 104.97%
iter 211: loss 6.5800, time 309.15ms, mfu 105.36%
iter 212: loss 6.6588, time 310.08ms, mfu 105.68%
iter 213: loss 6.4746, time 309.03ms, mfu 106.01%
iter 214: loss 6.5891, time 312.19ms, mfu 106.19%
iter 215: loss 6.5323, time 308.49ms, mfu 106.48%
iter 216: loss 6.5986, time 309.98ms, mfu 106.70%
iter 217: loss 6.4743, time 309.67ms, mfu 106.90%
iter 218: loss 6.5741, time 309.75ms, mfu 107.08%
iter 219: loss 6.5665, time 311.02ms, mfu 107.19%
iter 220: loss 6.4280, time 308.58ms, mfu 107.38%
iter 221: loss 6.4699, time 311.07ms, mfu 107.47%
iter 222: loss 6.5779, time 311.13ms, mfu 107.54%
iter 223: loss 6.3334, time 308.78ms, mfu 107.69%
